OptionNum,Option,Frequency,Accuracy,Innovation,Setup time,Safety,Judgement,Cost
A1,Connected IOT sensor,1.0,0.3,1.0,0.0,0.7,1.0,0.4
A2,Manual gauge read/entry,0.3,1.0,0.2,1.0,0.3,0.0,0.0
B1,Live video feed,0.0,0.7,0.8,0.5,0.0,0.0,0.4
B2,Periodic LIDAR scan,0.0,1.0,1.0,0.0,0.0,0.0,0.8
B3,Periodic photography,0.0,0.3,0.2,0.8,0.0,0.0,0.2
B4,None,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C1,Wired (Fiber),1.0,0.0,0.0,0.0,0.7,0.0,0.2
C2,Cellular (4G LTE),0.7,0.0,0.0,0.0,1.0,0.0,0.0
C3,Wi-Fi,0.7,0.0,0.0,0.0,0.3,0.0,0.2
D1,MySQL,0.0,0.0,0.2,0.5,0.0,0.0,0.4
D2,SQL (Cloud),0.0,0.0,0.6,0.2,0.0,0.0,0.6
D3,Excel,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D4,Unstructured,0.0,0.0,0.4,0.0,0.0,0.0,0.6
E1,Hot Storage,1.0,0.0,0.0,0.0,0.0,0.0,0.4
E2,Cold Storage,0.3,0.0,0.0,0.0,0.0,0.0,0.0
E3,Mix,0.7,0.0,0.0,0.0,0.0,0.0,0.2
F1,Stand-alone analysis,0.0,0.7,0.0,0.5,0.0,0.0,0.4
F2,Fleet style analysis,0.0,0.3,0.0,0.0,0.0,0.0,0.8
G1,Machine Learning Model,0.0,0.0,1.0,0.0,0.0,0.0,0.6
G2,Basic Statistical Models,0.0,0.0,0.2,0.5,0.0,0.0,0.4
G3,Physics Derived Model,0.0,0.0,0.6,0.2,0.0,0.0,0.4
G4,None,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1,PowerBI,0.0,1.0,0.0,0.0,0.0,0.0,0.2
H2,Python,0.0,1.0,0.0,0.0,0.0,0.0,0.4
H3,JavaScript,0.0,0.3,0.0,0.0,0.0,0.0,0.4
H4,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J1,Live-Stream,0.0,0.0,0.6,0.0,0.0,0.0,0.4
J2,3D Rendered Equipment,0.0,0.0,1.0,0.0,0.0,0.0,0.8
J3,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K1,Dashboard Alarm,0.0,0.0,0.0,0.3,0.5,0.0,0.2
K2,"One-time alert (phone, email)",0.0,0.0,0.0,0.7,0.5,0.0,0.2
K3,Automated shut-down,0.0,0.0,0.0,1.0,0.0,1.0,1.0
K4,None,0.0,0.0,0.0,0.0,1.0,0.0,0.0